name;acronym;search_epg
RTP 1;RTP1;True
RTP 2;RTP2;True
RTP 3;RTP3;True
RTP Memória;RTPM;True
RTP África;RTPA;True
SIC;SIC;False
SIC Mulher;SICM;True
SIC Radical;SICR;True
SIC K;SICK;True
SIC Caras;SICC;False
TVI;TVI;True
TVI24;TVI24;True
TVI Ficção;TVIFIC;True
Cartoon Network;CART;True
Cartoon Network Premium;CNPREM;True
Panda;PANDA;True
Panda Biggs;BIGGS;True
Disney Channel;DISNY;False
Disney Junior;DISNYJ;False
Nickelodeon;NICKELO;True
TVCine Top;TVCTOP;False
TVCine Edition;TVCED;False
TVCine Emotion;TVCEM;False
TVCine Action;TVCA;False
Hollywood;HOLLW;False
Cinemundo;CINE;False
AXN;AXN;True
AXN Movies;AXNM;True
AXN White;AXNWH;True
FOX;FOX;False
FOX Crime;FOXCR;False
FOX Life;FLIFE;False
FOX Movies;FOXM;False
FOX Comedy;FOXCOM;False
Eurochannel;EURCH;True
Discovery Channel;DISCV;True
Odisseia;ODISS;False
National Geographic;NGC;False
Nat Geo Wild;WILD;False
História;HIST;False
Travel Channel;TRAV;True
SyFy;SYFY;True
CBS Reality;CBSR;True
AMC;AMC;True
Blaze;BLAZEHD;True
Crime + Investigation;CI;True
BBC Entertainment;BBC E;True
Blast;BLAST;False